artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Laidback Luke,If There is Love,0.472,0.771,6,-5.7,0,0.123,0.00813,0,0.04,0.726,119.802,audio_features,5ngkOLKzDPNoYEXN0snzq3,spotify:track:5ngkOLKzDPNoYEXN0snzq3,https://api.spotify.com/v1/tracks/5ngkOLKzDPNoYEXN0snzq3,https://api.spotify.com/v1/audio-analysis/5ngkOLKzDPNoYEXN0snzq3,155366,4
KSHMR,Ready To Love,0.598,0.815,11,-4.481,1,0.0858,0.0606,0,0.176,0.383,121.986,audio_features,0cvMWzztDy1wNQkBqae8w4,spotify:track:0cvMWzztDy1wNQkBqae8w4,https://api.spotify.com/v1/tracks/0cvMWzztDy1wNQkBqae8w4,https://api.spotify.com/v1/audio-analysis/0cvMWzztDy1wNQkBqae8w4,188852,4
Bingo Players,Forever Love (feat. Viiq),0.668,0.9,6,-4.228,0,0.0429,0.0953,1.06e-05,0.368,0.709,124.045,audio_features,6bVWGtN2BVH53il4JSFON8,spotify:track:6bVWGtN2BVH53il4JSFON8,https://api.spotify.com/v1/tracks/6bVWGtN2BVH53il4JSFON8,https://api.spotify.com/v1/audio-analysis/6bVWGtN2BVH53il4JSFON8,155827,4
Martin Jensen,2019,0.876,0.765,9,-6.554,0,0.269,0.119,5.2e-06,0.0826,0.729,115.072,audio_features,0YETkmonJ718JRimG5zJOm,spotify:track:0YETkmonJ718JRimG5zJOm,https://api.spotify.com/v1/tracks/0YETkmonJ718JRimG5zJOm,https://api.spotify.com/v1/audio-analysis/0YETkmonJ718JRimG5zJOm,131381,4
Louis The Child,So What (feat. A R I Z O N A),0.799,0.791,2,-5.173,1,0.109,0.3,0.00089,0.104,0.651,119.993,audio_features,3By9IFm4E2BvKQygT04O8g,spotify:track:3By9IFm4E2BvKQygT04O8g,https://api.spotify.com/v1/tracks/3By9IFm4E2BvKQygT04O8g,https://api.spotify.com/v1/audio-analysis/3By9IFm4E2BvKQygT04O8g,177476,4
BUNT.,Crocodile Tears (feat. Jens Hult),0.639,0.83,5,-3.322,1,0.0353,0.118,0,0.0996,0.766,100.019,audio_features,2M7NfIlPjyGyepWVu3KVnY,spotify:track:2M7NfIlPjyGyepWVu3KVnY,https://api.spotify.com/v1/tracks/2M7NfIlPjyGyepWVu3KVnY,https://api.spotify.com/v1/audio-analysis/2M7NfIlPjyGyepWVu3KVnY,218800,4
Seeb,Feel It Again,0.482,0.756,10,-4.876,0,0.0524,0.00882,0,0.0745,0.368,120.014,audio_features,67Oqmxf4EUPXHfMtvXGT1g,spotify:track:67Oqmxf4EUPXHfMtvXGT1g,https://api.spotify.com/v1/tracks/67Oqmxf4EUPXHfMtvXGT1g,https://api.spotify.com/v1/audio-analysis/67Oqmxf4EUPXHfMtvXGT1g,187037,4
Steve Brian,Damage Each Other,0.527,0.763,1,-7.44,1,0.0415,0.0409,1.13e-06,0.0969,0.372,125.997,audio_features,6qKsaUc35vHfvlmPO0RAoK,spotify:track:6qKsaUc35vHfvlmPO0RAoK,https://api.spotify.com/v1/tracks/6qKsaUc35vHfvlmPO0RAoK,https://api.spotify.com/v1/audio-analysis/6qKsaUc35vHfvlmPO0RAoK,204286,4
Steve Aoki,My Way (Steve Aoki & Aloe Blacc),0.585,0.82,10,-4.428,1,0.0774,0.11,0,0.134,0.396,169.895,audio_features,0FJw1Pg9xXCxbcyQMI6GAe,spotify:track:0FJw1Pg9xXCxbcyQMI6GAe,https://api.spotify.com/v1/tracks/0FJw1Pg9xXCxbcyQMI6GAe,https://api.spotify.com/v1/audio-analysis/0FJw1Pg9xXCxbcyQMI6GAe,197647,4
ARTY,Those Eyes,0.727,0.822,5,-4.481,0,0.0471,0.0698,0.000175,0.408,0.855,118.092,audio_features,4KqA0GwEKbc96WyfIZn3SV,spotify:track:4KqA0GwEKbc96WyfIZn3SV,https://api.spotify.com/v1/tracks/4KqA0GwEKbc96WyfIZn3SV,https://api.spotify.com/v1/audio-analysis/4KqA0GwEKbc96WyfIZn3SV,162787,4
Lucas & Steve,I Want It All,0.612,0.726,1,-5.934,1,0.036,0.0374,2e-06,0.105,0.478,119.964,audio_features,3oSCJeOl0XjcpNcigO9vj7,spotify:track:3oSCJeOl0XjcpNcigO9vj7,https://api.spotify.com/v1/tracks/3oSCJeOl0XjcpNcigO9vj7,https://api.spotify.com/v1/audio-analysis/3oSCJeOl0XjcpNcigO9vj7,191835,4
Cash Cash,I Found You,0.646,0.761,1,-2.557,1,0.0385,0.0714,0,0.222,0.472,129.916,audio_features,3wYOGJYD31sLRmBgCvWxa4,spotify:track:3wYOGJYD31sLRmBgCvWxa4,https://api.spotify.com/v1/tracks/3wYOGJYD31sLRmBgCvWxa4,https://api.spotify.com/v1/audio-analysis/3wYOGJYD31sLRmBgCvWxa4,167308,4
Stace Cadet,Energy - Mell Hall Remix,0.619,0.901,5,-5.814,0,0.0384,0.00454,0.373,0.303,0.612,119.026,audio_features,6NqiasBrPLutxWZaGKPEuf,spotify:track:6NqiasBrPLutxWZaGKPEuf,https://api.spotify.com/v1/tracks/6NqiasBrPLutxWZaGKPEuf,https://api.spotify.com/v1/audio-analysis/6NqiasBrPLutxWZaGKPEuf,233949,4
Sonny Fodera,Closer (feat. Lilly Ahlberg),0.7,0.782,3,-4.631,1,0.0542,0.449,0,0.143,0.68,124.969,audio_features,5FDdviWQzhw7NWH2TiDl9d,spotify:track:5FDdviWQzhw7NWH2TiDl9d,https://api.spotify.com/v1/tracks/5FDdviWQzhw7NWH2TiDl9d,https://api.spotify.com/v1/audio-analysis/5FDdviWQzhw7NWH2TiDl9d,169901,4
Young Bombs,Better Day (feat. Aloe Blacc),0.662,0.823,9,-4.7,1,0.0971,0.073,0,0.0833,0.435,118.958,audio_features,5NeFmsnXBy6xVbz8pesM5l,spotify:track:5NeFmsnXBy6xVbz8pesM5l,https://api.spotify.com/v1/tracks/5NeFmsnXBy6xVbz8pesM5l,https://api.spotify.com/v1/audio-analysis/5NeFmsnXBy6xVbz8pesM5l,191786,4
Afrojack,Anywhere With You,0.596,0.743,6,-4.149,1,0.0302,0.0696,2.37e-06,0.202,0.531,125.883,audio_features,5MxKAr6Ui5hQ9TtjdnlmrR,spotify:track:5MxKAr6Ui5hQ9TtjdnlmrR,https://api.spotify.com/v1/tracks/5MxKAr6Ui5hQ9TtjdnlmrR,https://api.spotify.com/v1/audio-analysis/5MxKAr6Ui5hQ9TtjdnlmrR,158807,4
Cash Cash,42,0.698,0.847,4,-4.372,0,0.0366,0.0499,0,0.338,0.508,119.985,audio_features,7BPTtDK064b41v0LiopTnC,spotify:track:7BPTtDK064b41v0LiopTnC,https://api.spotify.com/v1/tracks/7BPTtDK064b41v0LiopTnC,https://api.spotify.com/v1/audio-analysis/7BPTtDK064b41v0LiopTnC,168625,4
Nicky Romero,Okay,0.513,0.836,2,-3.781,1,0.0579,0.0463,0,0.128,0.304,124.964,audio_features,71H8k9qe7DersxR6KyhUnI,spotify:track:71H8k9qe7DersxR6KyhUnI,https://api.spotify.com/v1/tracks/71H8k9qe7DersxR6KyhUnI,https://api.spotify.com/v1/audio-analysis/71H8k9qe7DersxR6KyhUnI,151312,4
Steve James,Like I Do,0.751,0.65,1,-6.212,0,0.046,0.126,1.78e-05,0.161,0.485,119.983,audio_features,72yOVhxkfd9lgp4Q0EaJTK,spotify:track:72yOVhxkfd9lgp4Q0EaJTK,https://api.spotify.com/v1/tracks/72yOVhxkfd9lgp4Q0EaJTK,https://api.spotify.com/v1/audio-analysis/72yOVhxkfd9lgp4Q0EaJTK,170000,4
One Bit,Sad Songs (feat. Clide),0.802,0.626,6,-6.532,1,0.0348,0.102,9.23e-05,0.0674,0.923,119.995,audio_features,7hBAZYZpQTyp3BrbnF7T7W,spotify:track:7hBAZYZpQTyp3BrbnF7T7W,https://api.spotify.com/v1/tracks/7hBAZYZpQTyp3BrbnF7T7W,https://api.spotify.com/v1/audio-analysis/7hBAZYZpQTyp3BrbnF7T7W,161979,4
Costa,Happy,0.684,0.884,2,-6.651,1,0.0619,0.0152,0.231,0.594,0.326,126.038,audio_features,4yABgjYvA9NoqZk3pqyfcC,spotify:track:4yABgjYvA9NoqZk3pqyfcC,https://api.spotify.com/v1/tracks/4yABgjYvA9NoqZk3pqyfcC,https://api.spotify.com/v1/audio-analysis/4yABgjYvA9NoqZk3pqyfcC,192976,4
Soundwaves,We Are Young,0.748,0.846,1,-4.32,0,0.0911,0.208,0.00215,0.0877,0.465,125.965,audio_features,0m3DyjpzLPa3LCurw5A9IR,spotify:track:0m3DyjpzLPa3LCurw5A9IR,https://api.spotify.com/v1/tracks/0m3DyjpzLPa3LCurw5A9IR,https://api.spotify.com/v1/audio-analysis/0m3DyjpzLPa3LCurw5A9IR,184196,4
